id,updated,created,priceSource,priceAsset,priceReference,check1Source,check1Asset,check1Reference,check1Limit,check2Source,check2Asset,check2Reference,check2Limit,currentPrice,priceValiditySeconds,priceTimestamp,referenceId,assetDisplayName,referenceDisplayName
63,2025-12-26 14:02:35,2025-12-10 16:24:40,CoinGecko,cardano,tether,,,,,,,,,2.800002241,300,2025-12-26 14:02:35,123,ADA,USDT
61,2025-12-26 14:02:34,2025-11-10 13:50:37,RealUnit,REALU,ZCHF,,,,,,,,,0.74074074,300,2025-12-26 14:02:34,251,,
60,2025-10-13 07:20:40,2025-10-13 07:20:40,CoinGecko,ondo-finance,tether,,ONDO,USDT,0.01,,,,,,300,,123,ONDO,USDT
59,2025-12-26 14:02:34,2025-09-19 12:59:20,Kraken,USD,USDT,,freedom-dollar,tether,0.01,,,,,0.99935,300,2025-12-26 14:02:34,,,
58,2025-12-26 14:02:33,2025-08-21 13:22:56,CoinGecko,gnosis,tether,,,,,,,,,0.00804015767,300,2025-12-26 14:02:33,123,GNO,USDT
57,2025-12-26 14:02:33,2025-07-17 07:55:31,Binance,TRX,USDT,,,,,,,,,3.591954023,300,2025-12-26 14:02:33,123,,
56,2025-12-26 14:10:18,2025-07-15 12:45:03,CoinGecko,zano,tether,,,,,,,,,0.1081643939,300,2025-12-26 14:10:18,123,ZANO,USDT
55,2025-12-26 14:02:32,2025-07-15 12:45:03,CoinGecko,freedom-dollar,tether,,,,,,,,,1.000114073,300,2025-12-26 14:02:32,123,FUSD,USDT
54,2025-12-26 14:02:32,2025-07-15 12:45:03,CoinGecko,mx-token,tether,,,,,,,,,0.4923507389,300,2025-12-26 14:02:32,123,MX,USDT
53,2025-12-26 14:02:32,2025-04-02 09:36:09,CoinGecko,tether-gold,tether,,,,,,,,,0.0002203897667,300,2025-12-26 14:02:32,123,XAUt,USDT
52,2025-12-26 14:02:31,2025-04-02 09:33:12,CoinGecko,liquid-staked-ethereum,tether,,,,,,,,,0.0003129697418,300,2025-12-26 14:02:31,123,LsETH,USDT
51,2025-12-26 14:02:30,2025-03-24 14:17:35,dEURO,DEPS,dEURO,,,,,,,,,2.7713465,300,2025-12-26 14:02:30,337,,
50,2025-12-26 14:10:18,2025-03-11 18:59:21,Binance,SOL,USDT,,solana,tether,0.01,,,,,0.008028904055,300,2025-12-26 14:10:18,123,,
49,2025-12-26 14:02:30,2025-02-20 16:58:21,Constant:3.26381334363:DEPS Presale,DEPS,EUR,,,,,,,,,3.263813344,300,2025-12-26 14:02:30,334,,
48,2025-12-26 14:02:30,2024-11-07 12:43:30,Constant:0.83333333:Edelcoin AG,EDLC,USD,,edelcoin,tether,1,,,,,0.83333333,300,2025-12-26 14:02:30,123,,
47,2025-12-26 14:02:30,2024-10-25 09:09:54,Kraken,LTC,USDT,,litecoin,tether,0.01,,,,,0.0129259939,300,2025-12-26 14:02:30,123,,
46,2025-12-26 14:02:29,2024-10-25 09:09:54,Kraken,EUR,USDT,,,,,,,,,0.8474,300,2025-12-26 14:02:29,123,,
45,2025-12-26 14:10:14,2024-08-29 09:21:09,CoinGecko,AED,USD,,,,,,,,,3.672060026,300,2025-12-26 14:10:14,123,,
44,2025-08-25 01:02:12,2024-08-23 08:20:17,DEX,Arbitrum/TGT,Arbitrum/USDT,,thorwallet,tether,0.03,,,,,1.88349E+59,300,2025-08-25 01:02:12,123,TGT,USDT
43,2024-03-26 18:49:43,2024-03-26 18:49:43,Ebel2X,MKX,USDT,,,,,,,,,0.88703799,300,2024-10-25 09:00:26,123,,
42,2025-12-26 14:02:28,2024-03-06 09:51:15,Kucoin,ISLM,USDT,,islamic-coin,tether,0.03,,,,,102.3541453,300,2025-12-26 14:02:28,123,,
41,2024-07-05 06:00:17,2024-03-06 09:15:27,Kucoin,YLD,USDT,,yield-app,tether,0.05,,,,,353.7318712,300,2024-07-05 06:00:27,123,,
40,2025-12-26 14:08:25,2024-02-21 13:30:10,Kraken,USD,USDT,,FDUSD,USDT,0.01,,,,,0.99935,300,2025-12-26 14:08:25,,,
39,2025-12-26 14:08:24,2024-02-21 13:30:10,Kraken,EUR,USDT,,EUR,USD,0.02,,,,,0.8475,300,2025-12-26 14:08:24,123,,
38,2025-12-26 14:10:14,2024-02-21 13:30:10,Kraken,USD,USDT,,FDUSD,USDT,0.01,,,,,0.99935,300,2025-12-26 14:10:14,,,
37,2025-12-26 14:08:26,2024-02-21 13:30:10,Kraken,CHF,USDT,,CHF,USD,0.01,,,,,0.7869,300,2025-12-26 14:08:26,123,,
36,2025-12-26 14:02:24,2024-02-21 13:30:10,Binance,BNB,USDT,,binancecoin,tether,0.03,,,,,0.001186676002,300,2025-12-26 14:02:24,123,,
35,2025-12-26 14:02:23,2024-02-21 13:30:10,Kraken,USD,USDT,,BinanceSmartChain/BUSD,BinanceSmartChain/USDT,0.01,,,,,0.99935,300,2025-12-26 14:02:23,,,
34,2025-12-26 14:10:15,2024-02-21 13:30:10,Kraken,BTC,USDT,,WBTC,USDT,0.01,,,,,0.00001124407859,300,2025-12-26 14:10:15,123,,
33,2025-12-26 14:02:22,2024-02-21 13:30:10,Kraken,BTC,USDT,,BTC,USDT,0.01,,,,,0.00001123582881,300,2025-12-26 14:02:22,123,,
32,2024-10-25 09:14:28,2024-02-21 13:30:10,Kraken,UNI,USDT,,uniswap,tether,0.03,,,,,0.1267266506,300,2024-10-25 09:14:27,123,,
31,2025-12-26 14:02:20,2024-02-21 13:30:10,Kraken,LINK,USDT,,chainlink,tether,0.03,,,,,0.08024477867,300,2025-12-26 14:02:20,123,,
30,2025-12-26 14:02:19,2024-02-21 13:30:09,Binance,ARB,USDT,,arbitrum,tether,0.03,,,,,5.211047421,300,2025-12-26 14:02:19,123,,
29,2025-12-26 14:02:19,2024-02-21 13:30:09,Binance,QNT,USDT,,quant-network,tether,0.03,,,,,0.01365747064,300,2025-12-26 14:02:19,123,,
28,2025-12-26 14:02:18,2024-02-21 13:30:09,Kraken,APE,USDT,,apecoin,tether,0.03,,,,,4.847309743,300,2025-12-26 14:02:17,123,,
27,2025-12-26 14:02:17,2024-02-21 13:30:09,Kraken,MANA,USDT,,decentraland,tether,0.03,,,,,8.476012884,300,2025-12-26 14:02:17,123,,
26,2025-12-26 14:02:15,2024-02-21 13:30:09,Binance,AAVE,USDT,,aave,tether,0.03,,,,,0.006402048656,300,2025-12-26 14:02:15,123,,
25,2025-12-26 14:02:15,2024-02-21 13:30:09,Binance,GRT,USDT,,the-graph,tether,0.03,,,,,27.11496746,300,2025-12-26 14:02:15,123,,
24,2025-12-26 14:02:14,2024-02-21 13:30:09,Binance,AXS,USDT,,axie-infinity,tether,0.03,,,,,1.184834123,300,2025-12-26 14:02:14,123,,
23,2025-12-26 14:02:13,2024-02-21 13:30:09,Binance,RPL,USDT,,rocket-pool,tether,0.03,,,,,0.5025125628,300,2025-12-26 14:02:13,123,,
22,2025-12-26 14:02:12,2024-02-21 13:30:09,Binance,CRV,USDT,,curve-dao-token,tether,0.03,,,,,2.510670349,300,2025-12-26 14:02:12,123,,
21,2025-12-26 14:02:11,2024-02-21 13:30:09,Binance,BAT,USDT,,basic-attention-token,tether,0.03,,,,,4.551661356,300,2025-12-26 14:02:11,123,,
20,2025-12-26 14:02:10,2024-02-21 13:30:09,Binance,CHZ,USDT,,chiliz,tether,0.03,,,,,27.8551532,300,2025-12-26 14:02:10,123,,
19,2025-12-26 14:02:09,2024-02-21 13:30:08,Binance,COMP,USDT,,compound-governance-token,tether,0.03,,,,,0.03827018752,300,2025-12-26 14:02:09,123,,
18,2025-12-26 14:02:09,2024-02-21 13:30:08,Binance,ENJ,USDT,,enjincoin,tether,0.03,,,,,36.5230095,300,2025-12-26 14:02:09,123,,
17,2025-12-26 14:02:08,2024-02-21 13:30:08,Binance,MKR,USDT,,maker,tether,0.03,,,,,0.0005513591002,300,2025-12-26 14:02:08,123,,
16,2025-12-26 14:02:07,2024-02-21 13:30:08,Binance,SNX,USDT,,havven,tether,0.03,,,,,2.298850575,300,2025-12-26 14:02:07,123,,
15,2025-12-26 14:02:07,2024-02-21 13:30:08,Kraken,USD,USDT,,TUSD,USDT,0.01,,,,,0.99935,300,2025-12-26 14:02:07,,,
14,2025-12-26 14:02:06,2024-02-21 13:30:08,Binance,GMX,USDT,,gmx,tether,0.03,,,,,0.1149425287,300,2025-12-26 14:02:06,123,,
13,2025-12-26 14:02:05,2024-02-21 13:30:08,Binance,1INCH,USDT,,1inch,tether,0.03,,,,,6.724949563,300,2025-12-26 14:02:05,123,,
12,2025-12-26 14:02:05,2024-02-21 13:30:08,Binance,SUSHI,USDT,,sushi,tether,0.03,,,,,3.461405331,300,2025-12-26 14:02:04,123,,
11,2025-12-26 14:08:27,2024-02-21 13:30:08,Kraken,BTC,USDT,,BTC,USDT,0.01,,,,,0.00001123642219,300,2025-12-26 14:08:27,123,,
10,2025-12-26 14:10:16,2024-02-21 13:30:08,Kraken,XMR,USDT,,monero,tether,0.05,,,,,0.00228791068,300,2025-12-26 14:10:16,123,,
9,2025-12-26 14:10:16,2024-02-21 13:30:07,CoinGecko,polygon-ecosystem-token,tether,,POL,USDT,0.03,,,,,9.490537371,300,2025-12-26 14:10:16,123,POL,USDT
8,2025-12-26 14:02:01,2024-02-21 13:30:07,Binance,SAND,USDT,,the-sandbox,tether,0.03,,,,,8.826125331,300,2025-12-26 14:02:01,123,,
7,2025-12-26 14:02:00,2024-02-21 13:30:07,Kraken,CHF,USDT,,Ethereum/XCHF,Ethereum/USDT,0.1,,,,,0.7868,300,2025-12-26 14:02:00,123,,
6,2025-12-26 14:08:25,2024-02-21 13:30:07,Kraken,ETH,USDT,,ETH,USDT,0.01,,,,,0.0003350903236,300,2025-12-26 14:08:25,123,,
5,2025-12-26 14:10:15,2024-02-21 13:30:07,Kraken,USD,USDT,,USDC,USDT,0.01,,,,,0.99935,300,2025-12-26 14:10:15,,,
4,2025-12-26 14:10:15,2024-02-21 13:30:07,Kraken,USD,USDT,,DAI,USDT,0.01,,,,,0.99935,300,2025-12-26 14:10:15,,,
3,2025-12-26 14:01:58,2024-02-21 13:30:07,Frankencoin,FPS,ZCHF,,,,,,,,,0.000835,300,2025-12-26 14:01:58,251,,
2,2025-12-26 14:10:17,2024-02-21 13:30:07,Kraken,CHF,USDT,,Ethereum/ZCHF,Ethereum/USDT,0.1,,,,,0.7869,300,2025-12-26 14:10:17,123,,
1,2025-12-26 14:01:56,2024-02-21 13:30:06,Kraken,USD,USDT,,USDC,USDT,0.01,,,,,0.99934,300,2025-12-26 14:01:56,,,